timestamp,node_id,true_temperature,estimated_temperature,residual,variance_P
20.0,Payload,20.280237294782523,20.588414810272923,-0.3081775154903994,0.06086330070731803
20.0,Structure,19.759922122884348,19.50288982262009,0.2570323002642567,0.05054651908248985
20.0,Radiator,16.077580646836907,15.943521695221136,0.13405895161577064,0.036010377594040834
20.0,Paneles,33.821493821269655,29.63145790011498,4.190035921154674,0.9780985075147307
25.0,CPU,21.293132305812208,21.407712002567393,-0.11457969675518598,0.042208318110101124
25.0,Battery,20.065298096253116,20.16799487738126,-0.10269678112814518,0.08879185669395627
25.0,Payload,20.34153442981045,20.437239896668927,-0.09570546685847603,0.055122324734663906
25.0,Structure,19.673704374261035,19.431146999011276,0.24255737524975984,0.04141364370528398
25.0,Radiator,15.424905217402966,15.308369073936433,0.11653614346653285,0.02807754367752773
25.0,Paneles,37.232536910551175,32.3941034462365,4.838433464314676,1.3335613105819182
30.0,CPU,21.512784249145795,21.738910232754847,-0.22612598360905167,0.03622761016348693
30.0,Battery,20.077682203005622,20.034512434206306,0.043169768799316444,0.08368398294507542
30.0,Payload,20.399118073701686,20.511966681060585,-0.11284860735889879,0.05360874527079108
30.0,Structure,19.581927497040283,19.436360253149417,0.1455672438908664,0.03533972317317249
30.0,Radiator,14.862242288841514,14.765110945219533,0.09713134362198161,0.02346188552241299
30.0,Paneles,40.62519413451571,34.72261836449252,5.902575770023191,1.7611454053578373
35.0,CPU,21.720056708718403,21.952291410854457,-0.23223470213605424,0.0329431003478059
35.0,Battery,20.089813821187363,20.09418287333375,-0.004369052146387276,0.0803345793414346
35.0,Payload,20.452975446572793,20.654204595228634,-0.20122914865584107,0.051682370967208915
35.0,Structure,19.48630547387495,19.299705285460618,0.18660018841433157,0.03149963210497501
35.0,Radiator,14.374870327074689,14.29934772587518,0.07552260119950915,0.0204997238634703
35.0,Paneles,43.99914390117067,37.222840474836744,6.776303426333925,2.1524340863817617
40.0,CPU,21.91533097747981,22.078661206008917,-0.16333022852910517,0.0303282562104527
40.0,Battery,20.101689223356743,19.81707760100028,0.284611622356465,0.07650846470411168
40.0,Payload,20.50313197468381,20.678368301154023,-0.1752363264702126,0.05030712280868588
40.0,Structure,19.388224445500384,19.310848737535878,0.07737570796450655,0.029165053857890026
40.0,Radiator,13.95064756411449,13.895798193606367,0.054849370508122774,0.01875329804606874
40.0,Paneles,47.354066578001095,40.25596104412671,7.098105533874389,2.384971379415692
45.0,CPU,22.099021368770707,22.279923309726883,-0.18090194095617562,0.02847994731031154
45.0,Battery,20.113307406562058,19.997614338095957,0.11569306846610061,0.07835810647410624
45.0,Payload,20.549642515429355,20.615906863189082,-0.06626434775972712,0.048546058004639216
45.0,Structure,19.288805717429966,19.314178547373672,-0.02537282994370571,0.028290718841097455
45.0,Radiator,13.579523428167192,13.570268334306434,0.009255093860758734,0.01746538871678098
45.0,Paneles,50.689644353548374,43.152287510730844,7.53735684281753,2.5160469882441228
50.0,CPU,22.271563788660103,22.387695890775547,-0.11613210211544356,0.026830157034268727
50.0,Battery,20.124669516749464,20.08523205635214,0.03943746039732332,0.07911248839533071
50.0,Payload,20.592584301483782,20.725273203828237,-0.13268890234445507,0.04754010494352731
50.0,Structure,19.188956822860234,19.162184968421002,0.026771854439232357,0.028038969623493233
50.0,Radiator,13.253143050431163,13.269541765332804,-0.016398714901640687,0.016470570520406114
50.0,Paneles,54.00556117927414,46.554877476903016,7.450683702371123,2.5878688038253066
55.0,CPU,22.43340973009242,22.511554884489556,-0.07814515439713432,0.025575066195445313
55.0,Battery,20.135778547437496,20.204496613057245,-0.06871806561974836,0.0775788388726746
55.0,Payload,20.632053239747222,20.803060337589045,-0.171007097841823,0.046450083804570476
55.0,Structure,19.089398288330983,19.1647362722876,-0.07533798395661506,0.02803886038559139
55.0,Radiator,12.964639802555212,13.033563064614611,-0.0689232620593998,0.01593576249026613
55.0,Paneles,57.30150274367992,49.657507144386955,7.643995599292964,2.626512770649729
60.0,CPU,22.585016230392625,22.66866605918699,-0.08364982879436411,0.024518919811297547
60.0,Battery,20.146638800528933,20.354643178535355,-0.20800437800642158,0.07539081570499483
60.0,Payload,20.668157447275462,20.717111550779123,-0.04895410350366092,0.044999555243176066
60.0,Structure,18.99071132633071,19.06118454826776,-0.07047322193704986,0.02825738128379055
