time,T_measured,T_predicted_60s,error,action_taken,power_W,estimated_C,estimated_eps
270,38.477239009659705,36.77231321220444,4.12654698710562,NOMINAL,30.0,457.1844970573025,0.98
275,38.69244531683904,36.960385879324065,4.147022527017555,NOMINAL,30.0,461.88480888229356,0.98
280,38.074042025786845,37.15255641411733,3.334584247172792,NOMINAL,30.0,465.6468393637965,0.98
285,38.60766263304514,37.34305641422708,3.67441870180987,NOMINAL,30.0,469.781712210497,0.98
290,39.19827848255145,37.53154860426105,4.071609546221659,NOMINAL,30.0,474.3483676437776,0.98
295,39.79253948581567,37.71797305191018,4.472938737823199,NOMINAL,30.0,479.34413935397305,0.98
300,39.33901978616781,37.90742579476387,3.827105780974037,NOMINAL,30.0,483.5970708146319,0.98
305,39.76131057023844,38.095755463370665,4.057361878740785,NOMINAL,30.0,488.09039332682283,0.98
310,39.57816834276053,38.285823332381426,3.682525676383186,NOMINAL,30.0,492.1527543442635,0.98
315,39.81205681156359,38.47571469203234,3.724863385283129,NOMINAL,30.0,496.2496489857538,0.98
320,41.09683854500317,38.66704421794799,4.8182291750054205,NOMINAL,30.0,500.0,0.98
325,41.65066216634358,38.874423627049055,5.180621270032816,NOMINAL,30.0,500.0,0.98
330,41.22001179599271,39.08296431834714,4.557090262768547,NOMINAL,30.0,500.0,0.98
335,42.0427210316317,39.29263679285299,5.185487848862991,NOMINAL,30.0,500.0,0.98
340,42.00812608476426,39.50341096183979,4.955169592470071,NOMINAL,30.0,500.0,0.98
345,41.79246833289411,39.7152561964578,4.5423974271091865,NOMINAL,30.0,500.0,0.98
350,42.58476204488541,39.92814137571486,5.136207326822571,NOMINAL,30.0,500.0,0.98
355,43.46338226123959,40.1420349327733,5.814997130307461,NOMINAL,30.0,500.0,0.98
360,42.96796096209133,40.35690489953561,5.118422651603204,NOMINAL,30.0,500.0,0.98
365,44.060861574886964,40.5727189495052,6.00887212993397,NOMINAL,30.0,500.0,0.98
370,42.26243330982076,40.789444438923965,4.006720507302795,NOMINAL,30.0,500.0,0.98
375,44.2780674124353,41.00704844619787,5.817385623663718,NOMINAL,30.0,500.0,0.98
380,44.20643739748337,41.22549780962993,5.539568394108329,NOMINAL,30.0,500.0,0.98
385,44.310138035445064,41.44475916348921,5.43589173973011,NOMINAL,30.0,500.0,0.98
390,44.8031224694296,41.66479897244665,5.720337650108398,NOMINAL,30.0,500.0,0.98
395,44.06187264823754,41.88558356441604,4.769417563351482,NOMINAL,30.0,500.0,0.98
400,45.244992826110504,42.107079161838726,5.74176581435087,NOMINAL,30.0,500.0,0.98
405,45.8332552979078,42.32925191145557,6.118185320077046,NOMINAL,30.0,500.0,0.98
410,46.69415683141708,42.55206791260986,6.766203963687509,NOMINAL,30.0,500.0,0.98
415,45.99716814967712,42.775493244125585,5.855324030367399,NOMINAL,30.0,500.0,0.98
420,46.1536748538526,42.999493989808514,5.79696308546405,NOMINAL,30.0,500.0,0.98
425,46.60912903493905,43.224036262614334,6.03660554320188,NOMINAL,30.0,500.0,0.98
430,47.620204907466,43.449086227532234,6.830958259140495,NOMINAL,30.0,500.0,0.98
435,47.62972935606642,43.67461012322639,6.622881037228964,NOMINAL,30.0,500.0,0.98
440,47.50362102024657,43.900574282484115,6.278325676767238,NOMINAL,30.0,500.0,0.98
445,48.328523720383714,44.12694515151259,6.883969362272865,NOMINAL,30.0,500.0,0.98
450,48.42400394186941,44.353689308128935,6.759412113136044,NOMINAL,30.0,500.0,0.98
455,49.16349439592046,44.5807734788869,7.278120311546395,NOMINAL,30.0,500.0,0.98
460,48.63192954859391,44.80816455518044,6.525062200186589,NOMINAL,30.0,500.0,0.98
465,49.12293320453106,45.03582960836644,6.793895436174445,NOMINAL,30.0,500.0,0.98
470,49.39448956004386,45.263735903945815,6.8426381158214085,NOMINAL,30.0,500.0,0.98
475,49.16248457519225,45.49185091484031,6.387210119810106,NOMINAL,30.0,500.0,0.98
480,50.34586824234424,45.720142333805086,7.346595356236207,NOMINAL,30.0,500.0,0.98
485,50.63171875464776,45.94857808500967,7.407905904897241,NOMINAL,30.0,500.0,0.98
490,50.80689788740995,46.177126334826085,7.358037375776753,NOMINAL,30.0,500.0,0.98
495,50.989915486302614,46.40575550185537,7.315533375597347,NOMINAL,30.0,500.0,0.98
500,50.70206103129766,46.63443426622666,6.801717051300045,NOMINAL,30.0,500.0,0.98
505,51.50158293267283,46.86313157820035,7.37487036674618,NOMINAL,30.0,500.0,0.98
510,51.84228255033,47.09181666610567,7.488828103839438,NOMINAL,30.0,500.0,0.98
515,51.91376439192741,47.320459043642416,7.333228043527221,NOMINAL,30.0,500.0,0.98
520,52.53500717797532,47.54902851657562,7.727082014787797,NOMINAL,30.0,500.0,0.98
525,53.11786185364613,47.77749518885025,8.082273891314998,NOMINAL,30.0,500.0,0.98
530,54.15851155738022,48.00582946815274,8.895019545939931,NOMINAL,30.0,500.0,0.98
535,53.60164270278008,48.234002070944484,8.110037919245741,NOMINAL,30.0,500.0,0.98
540,53.94137521900919,48.461984026992525,8.221481247552589,NOMINAL,30.0,500.0,0.98
545,54.07289317066064,48.689746683420424,8.124565671202923,NOMINAL,30.0,500.0,0.98
550,53.447476151159634,48.917261708303215,7.270602617174944,NOMINAL,30.0,500.0,0.98
555,54.689540428940546,49.14450109382625,8.28403993523213,NOMINAL,30.0,500.0,0.98
560,55.02799930953031,49.371437159031814,8.393822250706272,NOMINAL,30.0,500.0,0.98
565,56.52370537638534,49.59804255217108,9.660833196730877,NOMINAL,30.0,500.0,0.98
570,55.48918006812736,49.824290252683625,8.39762498353847,NOMINAL,30.0,500.0,0.98
575,56.02845018700617,50.05015357282036,8.708254899621181,NOMINAL,30.0,500.0,0.98
580,56.15164072745485,50.27560615893026,8.602878133590835,NOMINAL,30.0,500.0,0.98
585,55.8749469858135,50.50062199242734,8.097719877787775,NOMINAL,30.0,500.0,0.98
590,57.31992202520886,50.725175390453785,9.31436278759859,NOMINAL,30.0,500.0,0.98
595,57.41260364578459,50.949241006256386,9.178873946652566,NOMINAL,30.0,500.0,0.98
600,57.71914893287294,51.172793829291095,9.257439410462553,NOMINAL,30.0,500.0,0.98
605,57.154772534422904,51.39580918507016,8.46530247980175,NOMINAL,30.0,500.0,0.98
610,58.59550307078991,51.618262734766404,9.678520106899278,NOMINAL,30.0,500.0,0.98
615,57.47659598144895,51.8401304745874,8.332375738993107,NOMINAL,30.0,500.0,0.98
620,58.75311189872996,52.061388734934155,9.381957689319727,NOMINAL,30.0,500.0,0.98
625,59.83579023679854,52.2820141793548,10.238032723742059,NOMINAL,30.0,500.0,0.98
630,58.52486224181168,52.501983803306075,8.70085910892643,NOMINAL,30.0,500.0,0.98
635,59.01521077693723,52.72127493273456,8.965346395738372,NOMINAL,30.0,500.0,0.98
640,59.62504882936587,52.939865222488095,9.349733924968056,NOMINAL,30.0,500.0,0.98
645,59.59895675496454,53.157732654567326,9.09862807101694,NOMINAL,30.0,500.0,0.98
650,59.34941653484129,53.374855536228495,8.624536497799234,NOMINAL,30.0,500.0,0.98
655,60.43164057198175,53.591212497946344,9.48269695500182,NOMINAL,30.0,500.0,0.98
660,60.13735077913169,53.80678249124668,8.964856365862609,NOMINAL,30.0,500.0,0.98
665,61.17495127892531,54.02154478641717,9.779443527451328,NOMINAL,30.0,500.0,0.98
670,60.74658100587755,54.235478970105135,9.128621713057903,NOMINAL,30.0,500.0,0.98
675,62.24786135780743,54.448564942809696,10.408036324241145,NOMINAL,30.0,500.0,0.98
680,61.34630943006469,54.6607829162769,9.285228125897206,NOMINAL,30.0,500.0,0.98
685,61.84036660701443,54.87211341080473,9.558661838790357,NOMINAL,30.0,500.0,0.98
690,62.670015662655224,55.08253725246391,10.16834324140941,NOMINAL,30.0,500.0,0.98
695,61.90806255844333,55.29203557024397,9.187100969210832,NOMINAL,30.0,500.0,0.98
700,62.895820425429704,55.500589793127915,9.956270498344693,NOMINAL,30.0,500.0,0.98
705,63.692596280830706,55.70818164710363,10.535180863973288,NOMINAL,30.0,500.0,0.98
710,62.49053757115181,55.9147931521166,9.116001205292413,NOMINAL,30.0,500.0,0.98
