ablation,system,module,baseline_mean,ablated_mean,delta_pct,cohens_d,ci95_lower,ci95_upper,impact,status
NO_SINDY,ECG200,EV3_DEEP,104.381042,104.381042,0.0,0.0,-3.026,2.841,Negligible,OK
NO_SINDY,ECG200,EV3_SCI,337.576091,337.576091,0.0,0.0,-0.29,0.272,Negligible,OK
NO_SINDY,ECG200,SINDy,,,,,,,N/A,DISABLED
NO_SINDY,ECG200,PySR,,,,,,,N/A,DEPENDENCY_BYPASS
NO_SINDY,ECG200,Topology,,,,,,,N/A,ERROR
NO_SINDY,ECG200,Koopman,,,,,,,N/A,ERROR
NO_SINDY,ECG200,NeuralODE,,,,,,,N/A,ERROR
NO_SINDY,ECG200,PINN,,,,,,,N/A,ERROR
NO_SINDY,ECG5000,EV3,1.512468,1.512468,0.0,0.0,-2.982,2.747,Negligible,OK
NO_SINDY,ECG5000,EV3_EXT,10.815622,10.815622,0.0,0.0,-9.96,9.517,Negligible,OK
NO_SINDY,ECG5000,EV3_DEEP,104.381042,104.381042,0.0,0.0,-3.026,2.841,Negligible,OK
NO_SINDY,ECG5000,EV3_SCI,337.576091,337.576091,0.0,0.0,-0.29,0.272,Negligible,OK
NO_SINDY,ECG5000,SINDy,,,,,,,N/A,DISABLED
NO_SINDY,ECG5000,PySR,,,,,,,N/A,DEPENDENCY_BYPASS
NO_SINDY,ECG5000,Topology,,,,,,,N/A,ERROR
NO_SINDY,ECG5000,Koopman,,,,,,,N/A,ERROR
NO_SINDY,ECG5000,NeuralODE,,,,,,,N/A,ERROR
NO_SINDY,ECG5000,PINN,,,,,,,N/A,ERROR
NO_PYSR,lorenz,EV3,2.224899,2.224899,0.0,0.0,-6.454,6.57,Negligible,OK
NO_PYSR,lorenz,EV3_EXT,220.274509,220.274509,0.0,0.0,-38.879,29.838,Negligible,OK
NO_PYSR,lorenz,EV3_DEEP,321.240594,321.240594,0.0,0.0,-13.221,11.623,Negligible,OK
NO_PYSR,lorenz,EV3_SCI,477.096576,477.096576,0.0,0.0,-4.356,3.734,Negligible,OK
NO_PYSR,lorenz,SINDy,,,,,,,N/A,ERROR
NO_PYSR,lorenz,PySR,,,,,,,N/A,DISABLED
NO_PYSR,lorenz,Topology,,,,,,,N/A,ERROR
NO_PYSR,lorenz,Koopman,,,,,,,N/A,ERROR
NO_PYSR,lorenz,NeuralODE,,,,,,,N/A,ERROR
NO_PYSR,lorenz,PINN,,,,,,,N/A,ERROR
NO_PYSR,duffing,EV3,2.0219,2.0219,0.0,0.0,-20.913,16.589,Negligible,OK
NO_PYSR,duffing,EV3_EXT,293.401874,293.401874,0.0,0.0,-4.329,4.149,Negligible,OK
NO_PYSR,duffing,EV3_DEEP,347.591998,347.591998,0.0,0.0,-9.68,8.92,Negligible,OK
NO_PYSR,duffing,EV3_SCI,892.953997,892.953997,0.0,0.0,-168.65,71.651,Negligible,OK
NO_PYSR,duffing,SINDy,,,,,,,N/A,ERROR
NO_PYSR,duffing,PySR,,,,,,,N/A,DISABLED
NO_PYSR,duffing,Topology,,,,,,,N/A,ERROR
NO_PYSR,duffing,Koopman,,,,,,,N/A,ERROR
NO_PYSR,duffing,NeuralODE,,,,,,,N/A,ERROR
NO_PYSR,duffing,PINN,,,,,,,N/A,ERROR
NO_PYSR,van_der_pol,EV3,1.836094,1.836094,0.0,0.0,-1.902,1.632,Negligible,OK
NO_PYSR,van_der_pol,EV3_EXT,299.065419,299.065419,0.0,0.0,-0.008,0.008,Negligible,OK
NO_PYSR,van_der_pol,EV3_DEEP,363.008079,363.008079,0.0,0.0,-0.257,0.274,Negligible,OK
