time_seconds,cycle,phase,pressure_torr,shroud_temp,node_id,measured_temp
3110.0,3,HOT_RAMP,1.000000e-06,-122.50,2,-157.134
3110.0,3,HOT_RAMP,1.000000e-06,-122.50,3,-150.709
3110.0,3,HOT_RAMP,1.000000e-06,-122.50,4,-133.892
3110.0,3,HOT_RAMP,1.000000e-06,-122.50,5,-153.930
3110.0,3,HOT_RAMP,1.000000e-06,-122.50,6,-158.246
3115.0,3,HOT_RAMP,1.000000e-06,-120.00,1,-151.874
3115.0,3,HOT_RAMP,1.000000e-06,-120.00,2,-155.134
3115.0,3,HOT_RAMP,1.000000e-06,-120.00,3,-148.017
3115.0,3,HOT_RAMP,1.000000e-06,-120.00,4,-130.691
3115.0,3,HOT_RAMP,1.000000e-06,-120.00,5,-151.476
3115.0,3,HOT_RAMP,1.000000e-06,-120.00,6,-156.647
3120.0,3,HOT_RAMP,1.000000e-06,-117.50,1,-150.238
3120.0,3,HOT_RAMP,1.000000e-06,-117.50,2,-153.110
3120.0,3,HOT_RAMP,1.000000e-06,-117.50,3,-145.153
3120.0,3,HOT_RAMP,1.000000e-06,-117.50,4,-127.580
3120.0,3,HOT_RAMP,1.000000e-06,-117.50,5,-148.904
3120.0,3,HOT_RAMP,1.000000e-06,-117.50,6,-154.933
3125.0,3,HOT_RAMP,1.000000e-06,-115.00,1,-148.580
3125.0,3,HOT_RAMP,1.000000e-06,-115.00,2,-150.798
3125.0,3,HOT_RAMP,1.000000e-06,-115.00,3,-142.088
3125.0,3,HOT_RAMP,1.000000e-06,-115.00,4,-124.343
3125.0,3,HOT_RAMP,1.000000e-06,-115.00,5,-146.219
3125.0,3,HOT_RAMP,1.000000e-06,-115.00,6,-153.042
3130.0,3,HOT_RAMP,1.000000e-06,-112.50,1,-146.855
3130.0,3,HOT_RAMP,1.000000e-06,-112.50,2,-148.509
3130.0,3,HOT_RAMP,1.000000e-06,-112.50,3,-138.962
3130.0,3,HOT_RAMP,1.000000e-06,-112.50,4,-121.187
3130.0,3,HOT_RAMP,1.000000e-06,-112.50,5,-143.389
3130.0,3,HOT_RAMP,1.000000e-06,-112.50,6,-151.022
3135.0,3,HOT_RAMP,1.000000e-06,-110.00,1,-144.943
3135.0,3,HOT_RAMP,1.000000e-06,-110.00,2,-146.014
3135.0,3,HOT_RAMP,1.000000e-06,-110.00,3,-135.582
3135.0,3,HOT_RAMP,1.000000e-06,-110.00,4,-118.046
3135.0,3,HOT_RAMP,1.000000e-06,-110.00,5,-140.356
3135.0,3,HOT_RAMP,1.000000e-06,-110.00,6,-148.926
3140.0,3,HOT_RAMP,1.000000e-06,-107.50,1,-142.994
3140.0,3,HOT_RAMP,1.000000e-06,-107.50,2,-143.385
3140.0,3,HOT_RAMP,1.000000e-06,-107.50,3,-132.286
3140.0,3,HOT_RAMP,1.000000e-06,-107.50,4,-114.959
3140.0,3,HOT_RAMP,1.000000e-06,-107.50,5,-137.238
3140.0,3,HOT_RAMP,1.000000e-06,-107.50,6,-146.735
3145.0,3,HOT_RAMP,1.000000e-06,-105.00,1,-141.004
3145.0,3,HOT_RAMP,1.000000e-06,-105.00,2,-140.684
3145.0,3,HOT_RAMP,1.000000e-06,-105.00,3,-128.844
3145.0,3,HOT_RAMP,1.000000e-06,-105.00,4,-111.821
3145.0,3,HOT_RAMP,1.000000e-06,-105.00,5,-134.064
3145.0,3,HOT_RAMP,1.000000e-06,-105.00,6,-144.390
3150.0,3,HOT_RAMP,1.000000e-06,-102.50,1,-138.853
3150.0,3,HOT_RAMP,1.000000e-06,-102.50,2,-137.743
3150.0,3,HOT_RAMP,1.000000e-06,-102.50,3,-125.335
3150.0,3,HOT_RAMP,1.000000e-06,-102.50,4,-108.783
3150.0,3,HOT_RAMP,1.000000e-06,-102.50,5,-130.654
3150.0,3,HOT_RAMP,1.000000e-06,-102.50,6,-141.993
3155.0,3,HOT_RAMP,1.000000e-06,-100.00,1,-136.628
3155.0,3,HOT_RAMP,1.000000e-06,-100.00,2,-134.713
3155.0,3,HOT_RAMP,1.000000e-06,-100.00,3,-121.807
3155.0,3,HOT_RAMP,1.000000e-06,-100.00,4,-105.699
3155.0,3,HOT_RAMP,1.000000e-06,-100.00,5,-127.195
3155.0,3,HOT_RAMP,1.000000e-06,-100.00,6,-139.474
3160.0,3,HOT_RAMP,1.000000e-06,-97.50,1,-134.232
3160.0,3,HOT_RAMP,1.000000e-06,-97.50,2,-131.533
3160.0,3,HOT_RAMP,1.000000e-06,-97.50,3,-118.130
3160.0,3,HOT_RAMP,1.000000e-06,-97.50,4,-102.663
3160.0,3,HOT_RAMP,1.000000e-06,-97.50,5,-123.555
3160.0,3,HOT_RAMP,1.000000e-06,-97.50,6,-136.823
