Trial_ID,CPU_Power_W,Radiator_Area_m2,Emissivity,Conductance_Mult,Beta_Angle_deg,Altitude_km,Failure_Mode,T_max_CPU,T_max_Battery,T_max_Payload,Overheated,Time_to_Critical_s
99,9.8551142146987,0.17376786546896167,0.8580925913756732,1.0773615969383328,-44.084299964148336,369.0211816913768,None,34.87519456708773,25.97165429661164,33.6468702646131,0,-1.0
100,6.414313355903041,0.20053864851747244,0.8713719895639969,1.0135070486024875,-67.13395632481829,475.27992520633705,None,21.16171670417607,19.121635507587392,20.79163064842163,0,-1.0
101,33.63846850687012,0.13938262454159359,0.8714018921910922,1.0437648295833801,-79.46341198559098,521.7381103463596,None,35.055007674786175,19.66540071566042,22.489774159401478,0,-1.0
102,19.1460191484347,0.14021121114963556,0.822381989155496,0.9313257042777017,-35.025570262304754,547.9766346055592,None,52.84616222767473,34.18144914626032,44.20812802686314,0,-1.0
103,27.885681102411624,0.17088321754138144,0.9124254853700254,0.9622839669858162,-61.62101517655657,495.7546618610341,None,39.75651592081742,23.075685913606865,28.8940166057684,0,-1.0
104,45.84049132667418,0.16363782979252622,0.8925829284124754,0.9597307585978951,-58.67811935709764,577.2294360303636,Partial MLI Loss,57.34924912209915,28.627581733445147,36.03984090741982,0,-1.0
105,16.21815031169937,0.18693414651472068,0.9246168194941564,1.107563212887127,46.936675509650996,585.4978617209679,None,36.27412502482906,24.894339872089272,31.477006157813072,0,-1.0
106,23.46723153660334,0.16167856370651928,0.8829795270732315,0.9628323404298955,-87.14914722992265,366.0798057983959,None,28.306894367512715,19.886606446323107,20.606959836158314,0,-1.0
107,38.99980123443719,0.1428141581842588,0.9413620377637946,1.2315407554828233,10.405822632378204,450.5926348853436,None,72.57885551129863,46.26917697401473,57.62066030697839,0,-1.0
108,15.29591744712301,0.16181309661384619,0.935597057508851,1.0440279299220583,-21.696951493176343,355.8647554302886,Heater Stuck ON,48.97959232021784,39.344656452809524,43.43078781792326,0,-1.0
109,8.464095942295685,0.17217407161165815,0.8850955413629085,0.8802333237754171,1.1789999835385032,432.3541643436107,None,43.52107870393869,29.512001572381457,40.35230379720292,0,-1.0
