day,mode,winner_sat_id,max_temp_cpu,avg_temp_cpu,total_tasks_completed,total_overheat_incidents
20.60,cooperative,0,10363.95,1054.39,207,206
20.70,cooperative,0,10399.52,1057.95,208,207
20.80,cooperative,0,10445.85,1062.59,209,208
20.90,cooperative,0,10512.56,1069.26,210,209
21.00,cooperative,0,10555.07,1073.51,211,210
21.10,cooperative,0,10615.01,1079.50,212,211
21.20,cooperative,0,10663.90,1084.39,213,212
21.30,cooperative,0,10711.71,1089.17,214,213
21.40,cooperative,0,10777.48,1095.75,215,214
21.50,cooperative,0,10844.53,1102.45,216,215
21.60,cooperative,0,10896.80,1107.68,217,216
21.70,cooperative,0,10954.54,1113.45,218,217
21.80,cooperative,0,10993.34,1117.33,219,218
21.90,cooperative,0,11036.91,1121.69,220,219
22.00,cooperative,0,11103.06,1128.31,221,220
22.10,cooperative,0,11156.12,1133.61,222,221
22.20,cooperative,0,11207.94,1138.79,223,222
22.30,cooperative,0,11266.67,1144.67,224,223
22.40,cooperative,0,11302.19,1148.22,225,224
22.50,cooperative,0,11355.42,1153.54,226,225
22.60,cooperative,0,11405.91,1158.59,227,226
22.70,cooperative,0,11468.16,1164.82,228,227
22.80,cooperative,0,11507.05,1168.71,229,228
22.90,cooperative,0,11572.94,1175.29,230,229
23.00,cooperative,0,11609.23,1178.92,231,230
23.10,cooperative,0,11649.07,1182.91,232,231
23.20,cooperative,0,11702.67,1188.27,233,232
23.30,cooperative,0,11758.95,1193.90,234,233
23.40,cooperative,0,11800.46,1198.05,235,234
23.50,cooperative,0,11838.08,1201.81,236,235
23.60,cooperative,0,11901.60,1208.16,237,236
23.70,cooperative,0,11943.47,1212.35,238,237
23.80,cooperative,0,11997.05,1217.70,239,238
23.90,cooperative,0,12051.46,1223.15,240,239
24.00,cooperative,0,12099.14,1227.91,241,240
24.10,cooperative,0,12152.35,1233.24,242,241
24.20,cooperative,0,12203.52,1238.35,243,242
24.30,cooperative,0,12268.53,1244.85,244,243
24.40,cooperative,0,12308.99,1248.90,245,244
24.50,cooperative,0,12366.65,1254.67,246,245
24.60,cooperative,0,12408.27,1258.83,247,246
24.70,cooperative,0,12455.17,1263.52,248,247
24.80,cooperative,0,12511.34,1269.13,249,248
24.90,cooperative,0,12555.02,1273.50,250,249
25.00,cooperative,0,12599.24,1277.92,251,250
25.10,cooperative,0,12658.11,1283.81,252,251
25.20,cooperative,0,12694.14,1287.41,253,252
25.30,cooperative,0,12743.14,1292.31,254,253
