Timestamp_s,Day,T_CPU_C,T_Battery_C,T_Payload_C,Power_CPU_W,Power_Payload_W,In_Pass,Throttled,Safe_Mode
109200.0,1.2638888888888888,21.844705108531002,-1.5334679838757665,17.00808542282897,5.0,0.0,1,0,1
109800.0,1.2708333333333333,15.642607940863797,7.1741155738469615,14.5884475627509,5.0,0.0,0,0,1
110400.0,1.2777777777777777,3.0625715382086014,6.065227210768512,2.5081998197046005,5.0,0.0,0,0,1
111000.0,1.2847222222222223,-7.280885978763763,0.3886406094844119,-8.173617129818751,5.0,0.0,0,0,1
111600.0,1.2916666666666667,-15.674417536512522,-6.715016599615296,-16.857875687882995,5.0,0.0,0,0,1
112200.0,1.2986111111111112,-22.738188569452007,-13.894762224830401,-24.122747072628698,5.0,0.0,1,0,1
112800.0,1.3055555555555556,-28.855643322689417,-20.642982624557874,-30.384978737571544,5.0,0.0,0,0,1
113400.0,1.3125,-29.54973860276479,-26.01431286295397,-32.863643831911304,5.0,0.0,0,0,1
114000.0,1.3194444444444444,2.5672121482834314,-17.687929175173593,-5.125065719725001,5.0,0.0,0,0,1
114600.0,1.3263888888888888,21.844705108495475,-1.5334679839234582,17.008085422791964,5.0,0.0,1,0,1
115200.0,1.3333333333333333,15.642607940835092,7.174115573807512,14.588447562721115,5.0,0.0,0,0,1
115800.0,1.3402777777777777,3.0625715381843293,6.065227210735884,2.508199819679703,5.0,0.0,0,0,1
116400.0,1.3472222222222223,-7.280885978784795,0.3886406094570134,-8.173617129840238,5.0,0.0,0,0,1
117000.0,1.3541666666666667,-15.674417536530996,-6.715016599638716,-16.857875687901924,5.0,0.0,0,0,1
117600.0,1.3611111111111112,-22.73818856946835,-13.894762224850638,-24.122747072645353,5.0,0.0,1,0,1
118200.0,1.3680555555555556,-28.85564332270394,-20.64298262457558,-30.38497873758635,5.0,0.0,0,0,1
118800.0,1.375,-29.549738602777808,-26.014312862969575,-32.86364383192458,5.0,0.0,0,0,1
119400.0,1.3819444444444444,2.5672121482724606,-17.68792917518735,-5.1250657197363125,5.0,0.0,0,0,1
120000.0,1.3888888888888888,21.844705108486778,-1.533467983935111,17.00808542278287,5.0,0.0,1,0,1
120600.0,1.3958333333333333,15.642607940828213,7.1741155737979625,14.588447562714009,5.0,0.0,0,0,1
121200.0,1.4027777777777777,3.0625715381785312,6.065227210727926,2.5081998196736777,5.0,0.0,0,0,1
121800.0,1.4097222222222223,-7.280885978789854,0.3886406094503627,-8.173617129845525,5.0,0.0,0,0,1
122400.0,1.4166666666666667,-15.674417536535486,-6.71501659964423,-16.85787568790647,5.0,0.0,0,0,1
123000.0,1.4236111111111112,-22.73818856947227,-13.894762224855413,-24.12274707264939,5.0,0.0,1,0,1
123600.0,1.4305555555555556,-28.855643322707465,-20.642982624579787,-30.384978737589933,5.0,0.0,0,0,1
124200.0,1.4375,-29.54973860278099,-26.014312862973327,-32.86364383192782,5.0,0.0,0,0,1
124800.0,1.4444444444444444,2.567212148269732,-17.687929175190618,-5.125065719739098,5.0,0.0,0,0,1
125400.0,1.4513888888888888,21.84470510848479,-1.5334679839378964,17.008085422780766,5.0,0.0,1,0,1
126000.0,1.4583333333333333,15.642607940826565,7.174115573795632,14.588447562712304,5.0,0.0,0,0,1
126600.0,1.4652777777777777,3.06257153817711,6.06522721072605,2.5081998196721997,5.0,0.0,0,0,1
127200.0,1.4722222222222223,-7.280885978790991,0.3886406094487711,-8.173617129846662,5.0,0.0,0,0,1
127800.0,1.4791666666666667,-15.67441753653651,-6.715016599645651,-16.857875687907494,5.0,0.0,0,0,1
128400.0,1.4861111111111112,-22.73818856947321,-13.894762224856663,-24.1227470726503,5.0,0.0,1,0,1
129000.0,1.4930555555555556,-28.85564332270829,-20.642982624580895,-30.384978737590757,5.0,0.0,0,0,1
129600.0,1.5,-29.54973860278176,-26.014312862974293,-32.863643831928556,5.0,0.0,1,0,1
130200.0,1.5069444444444444,2.567212148269107,-17.68792917519147,-5.12506571973978,5.0,0.0,0,0,1
130800.0,1.5138888888888888,21.844705108484334,-1.5334679839385785,17.00808542278031,5.0,0.0,1,0,1
131400.0,1.5208333333333333,15.64260794082628,7.174115573795177,14.588447562712076,5.0,0.0,0,0,1
132000.0,1.5277777777777777,3.0625715381769396,6.065227210725709,2.508199819672029,5.0,0.0,0,0,1
132600.0,1.5347222222222223,-7.280885978791218,0.3886406094484869,-8.173617129846889,5.0,0.0,0,0,1
133200.0,1.5416666666666667,-15.674417536536623,-6.715016599645821,-16.857875687907608,5.0,0.0,0,0,1
133800.0,1.5486111111111112,-22.738188569473323,-13.894762224856777,-24.122747072650412,5.0,0.0,1,0,1
134400.0,1.5555555555555556,-28.855643322708374,-20.64298262458098,-30.38497873759087,5.0,0.0,0,0,1
135000.0,1.5625,-29.549738602781815,-26.01431286297438,-32.86364383192864,5.0,0.0,0,0,1
135600.0,1.5694444444444444,2.56721214826905,-17.687929175191528,-5.125065719739837,5.0,0.0,0,0,1
136200.0,1.5763888888888888,21.84470510848422,-1.5334679839386922,17.008085422780198,5.0,0.0,1,0,1
136800.0,1.5833333333333333,15.642607940826167,7.1741155737950635,14.588447562711906,5.0,0.0,0,0,1
137400.0,1.5902777777777777,3.0625715381767122,6.0652272107255385,2.5081998196718587,5.0,0.0,0,0,1
138000.0,1.5972222222222223,-7.280885978791389,0.38864060944831635,-8.17361712984706,5.0,0.0,0,0,1
138600.0,1.6041666666666667,-15.674417536536737,-6.715016599645992,-16.85787568790778,5.0,0.0,0,0,1
139200.0,1.6111111111111112,-22.738188569473408,-13.894762224856947,-24.122747072650526,5.0,0.0,1,0,1
139800.0,1.6180555555555556,-28.855643322708488,-20.642982624581066,-30.384978737590956,5.0,0.0,0,0,1
140400.0,1.625,-29.549738602781872,-26.014312862974464,-32.8636438319287,5.0,0.0,0,0,1
141000.0,1.6319444444444444,2.567212148268993,-17.687929175191584,-5.125065719739894,5.0,0.0,0,0,1
141600.0,1.6388888888888888,21.84470510848422,-1.533467983938749,17.008085422780198,5.0,0.0,1,0,1
142200.0,1.6458333333333333,15.642607940826224,7.174115573795007,14.588447562711963,5.0,0.0,0,0,1
142800.0,1.6527777777777777,3.062571538176826,6.0652272107255385,2.5081998196719155,5.0,0.0,0,0,1
143400.0,1.6597222222222223,-7.280885978791275,0.3886406094483732,-8.173617129846946,5.0,0.0,0,0,1
144000.0,1.6666666666666667,-15.67441753653668,-6.715016599645935,-16.857875687907722,5.0,0.0,0,0,1
