Time_min,T_CPU_Ctrl,T_CPU_Unctrl,Action,Louver_Eps
53.0,82.85476888783731,95.82008138823223,NOMINAL,0.15
54.0,82.84617671746803,95.60439983040517,NOMINAL,0.15
55.0,82.83850943128023,95.39558271998625,NOMINAL,0.15
56.0,82.83182376095938,95.19326691907587,NOMINAL,0.15
57.0,82.82613844616594,94.99710845979811,NOMINAL,0.15
58.0,82.82144599706876,94.80678247076209,NOMINAL,0.15
59.0,82.81772106583435,94.6219828349873,NOMINAL,0.15
60.0,82.8149264359603,94.44242165482531,NOMINAL,0.15
61.0,82.81301732018507,94.2678285824919,NOMINAL,0.15
62.0,82.81194444694754,94.09795006149488,NOMINAL,0.15
63.0,82.81165627293352,93.93254851374115,NOMINAL,0.15
64.0,82.81210056144916,93.77140149884028,NOMINAL,0.15
65.0,82.81322549835932,93.61430086562213,NOMINAL,0.15
66.0,82.81498046955015,93.46105191078333,NOMINAL,0.15
67.0,82.81731659000316,93.31147255558355,NOMINAL,0.15
68.0,82.82359614540482,93.16879983707523,NOMINAL,0.15
69.0,79.08876803338879,93.05715162867978,CPU THROTTLING,0.15
70.0,77.05529359505051,93.02414533275636,CPU THROTTLING,0.15
71.0,75.94660392843782,93.1206898802616,CPU THROTTLING,0.15
72.0,75.41579767633937,93.38979863477593,CPU THROTTLING,0.15
73.0,75.30619590510753,93.86390787606368,CPU THROTTLING,0.15
74.0,75.54593533375642,94.56508546427703,CPU THROTTLING,0.15
75.0,76.09992364764041,95.5061724549165,CPU THROTTLING,0.15
76.0,76.9478621787221,96.6921118544035,CPU THROTTLING,0.15
77.0,78.0742901580514,98.12120137218744,CPU THROTTLING,0.15
78.0,79.46420030012473,99.78620157892692,CPU THROTTLING,0.15
79.0,78.21814750845931,101.6753030516237,EMERGENCY SAFE-MODE,0.85
80.0,80.06322294997598,103.77297681164843,CPU THROTTLING,0.15
81.0,79.08485810756709,106.06073272771603,EMERGENCY SAFE-MODE,0.85
82.0,78.4654874474861,108.51780409897866,EMERGENCY SAFE-MODE,0.85
83.0,77.9837672318318,111.12176912354349,EMERGENCY SAFE-MODE,0.85
84.0,77.7104304113591,113.84911372435982,EMERGENCY SAFE-MODE,0.85
85.0,77.66019530811069,116.67573602532535,EMERGENCY SAFE-MODE,0.85
86.0,77.81386981277359,119.57739069092814,EMERGENCY SAFE-MODE,0.85
