Hour,Sat_0_Temp_C,Sat_1_Temp_C,Sat_2_Temp_C,Sat_3_Temp_C,Sat_4_Temp_C,Sat_5_Temp_C,Sat_6_Temp_C,Sat_7_Temp_C,Sat_8_Temp_C,Sat_9_Temp_C
48,116.23594956366787,43.5045040282385,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23594956366787,43.5045040282385,13.62106946598169,-8.427585481413985,-8.427585481413985
49,116.2359414764083,43.49800037232097,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.2359414764083,43.49800037232097,13.62106946598169,-8.427585481413985,-8.427585481413985
50,116.2359332224006,43.491496320722035,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.2359332224006,43.491496320722035,13.62106946598169,-8.427585481413985,-8.427585481413985
51,116.23592480164484,43.48499187343083,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23592480164484,43.48499187343083,32.026060182230765,-8.427585481413985,-8.427585481413985
52,116.23591621414101,43.47848703043633,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23591621414101,43.47848703043633,13.62106946598169,-8.427585481413985,-8.427585481413985
53,116.23590745988889,43.47198179172767,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23590745988889,43.47198179172767,13.62106946598169,-8.427585481413985,-8.427585481413985
54,116.23589853888876,43.46547615729361,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23589853888876,43.46547615729361,13.62106946598169,-8.427585481413985,-8.427585481413985
55,116.23588945114028,43.45897012712362,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23588945114028,64.43186998339468,13.62106946598169,-8.427585481413985,-8.427585481413985
56,116.23588019664362,43.452463701206455,-8.427585481413985,-8.427585481413985,-8.427585481413985,147.27637830089805,43.452463701206455,13.62106946598169,-8.427585481413985,-8.427585481413985
57,116.23587077539884,43.445956879531195,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23587077539884,43.445956879531195,13.62106946598169,-8.427585481413985,-8.427585481413985
58,116.23586118740548,43.43944966208693,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23586118740548,43.43944966208693,13.62106946598169,-8.427585481413985,-8.427585481413985
59,116.23585143266388,43.43294204886274,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23585143266388,43.43294204886274,13.62106946598169,-8.427585481413985,-8.427585481413985
60,116.23584151117404,43.42643403984755,-8.427585481413985,-8.427585481413985,13.966047714549063,116.23584151117404,43.42643403984755,13.62106946598169,-8.427585481413985,-8.427585481413985
61,116.23583142293592,43.419925635030495,-8.427585481413985,11.132723210544214,-8.427585481413985,116.23583142293592,43.419925635030495,13.62106946598169,-8.427585481413985,-8.427585481413985
62,116.23582116794915,43.41341683440072,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23582116794915,43.41341683440072,13.62106946598169,-8.427585481413985,-8.427585481413985
63,116.23581074621404,43.4069076379472,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23581074621404,43.4069076379472,13.62106946598169,-8.427585481413985,-8.427585481413985
64,116.2358001577303,43.40039804565896,21.398687989543873,-8.427585481413985,-8.427585481413985,116.2358001577303,43.40039804565896,13.62106946598169,-8.427585481413985,-8.427585481413985
65,116.23578940249809,82.92438474848956,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23578940249809,43.39388805752503,13.62106946598169,-8.427585481413985,-8.427585481413985
66,132.73407671359013,43.38737767353467,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23577848051747,43.38737767353467,13.62106946598169,-8.427585481413985,-8.427585481413985
67,116.23576739178799,43.38086689367691,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23576739178799,43.38086689367691,13.62106946598169,-8.427585481413985,26.789713874221036
68,116.23575613631004,43.374355717940546,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23575613631004,43.374355717940546,13.62106946598169,29.417362030660342,-8.427585481413985
69,116.23574471408335,43.367844146314894,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23574471408335,43.367844146314894,38.177263687353786,-8.427585481413985,-8.427585481413985
70,116.23573312510791,43.36133217878893,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23573312510791,43.36133217878893,13.62106946598169,-8.427585481413985,-8.427585481413985
71,116.23572136938401,43.3548198153519,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23572136938401,43.3548198153519,13.62106946598169,-8.427585481413985,-8.427585481413985
72,116.23570944691102,43.34830705599268,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23570944691102,43.34830705599268,13.62106946598169,-8.427585481413985,-8.427585481413985
73,116.23569735768945,43.34179390070045,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23569735768945,76.17362401467528,13.62106946598169,-8.427585481413985,-8.427585481413985
74,116.23568510171873,43.335280349464256,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23568510171873,43.335280349464256,13.62106946598169,-8.427585481413985,-8.427585481413985
75,116.23567267899932,43.328766402273175,-8.427585481413985,-8.427585481413985,-8.427585481413985,135.4975495844451,43.328766402273175,13.62106946598169,-8.427585481413985,-8.427585481413985
76,116.23566008953077,43.322252059116465,-8.427585481413985,-8.427585481413985,25.617397316638858,116.23566008953077,43.322252059116465,13.62106946598169,-8.427585481413985,-8.427585481413985
77,116.23564733331347,43.315737319982986,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23564733331347,43.315737319982986,13.62106946598169,-8.427585481413985,-8.427585481413985
78,116.23563441034713,43.30922218486177,-8.427585481413985,25.65344618036363,-8.427585481413985,116.23563441034713,43.30922218486177,13.62106946598169,-8.427585481413985,-8.427585481413985
79,116.2356213206316,43.302706653742234,22.76906434141523,-8.427585481413985,-8.427585481413985,116.2356213206316,43.302706653742234,13.62106946598169,-8.427585481413985,-8.427585481413985
80,116.23560806416697,43.29619072661319,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23560806416697,43.29619072661319,13.62106946598169,-8.427585481413985,-8.427585481413985
