time,power_w,T_cpu_measured,T_cpu_real,T_cpu_estimated,T_rad_measured,T_rad_real,estimated_C,estimated_eps,residual
1600,25.0,7.584756093899156,7.232362702782439,7.712445150327255,-11.634135014693072,-12.321402001469721,273.8461331179119,0.98,-0.1276890564280997
1605,25.0,7.602380587168167,7.21586874670902,7.696056429182818,-12.366269848613335,-12.344149995601128,273.8303884179686,0.98,-0.09367584201465107
1610,25.0,6.8936775765118306,7.198927371660147,7.679100871946787,-11.44367977914572,-12.366955302818667,273.69381181310996,0.98,-0.7854232954349563
1615,25.0,6.5000129985417825,7.181557419900798,7.6615905458431826,-12.302903095363272,-12.3898178372325,273.4851262073971,0.98,-1.1615775473014
1620,25.0,7.618800759245165,7.163776865678415,7.643539632341572,-12.716129826883694,-12.412737397256478,273.4805412796331,0.98,-0.024738873096406877
1625,25.0,6.236357559741844,7.145602859687472,7.624979915621054,-12.638890556881016,-12.435713675731336,273.21594272342304,0.98,-1.3886223558792103
1630,25.0,6.371413980708178,7.1270517711008665,7.605911465994609,-12.055506347659186,-12.458746269356993,272.97404684699677,0.98,-1.2344974852864308
1635,25.0,7.357937362668436,7.1081392273058555,7.586352883236884,-12.9422343409216,-12.481834687477544,272.92810163203876,0.98,-0.22841552056844794
1640,25.0,7.12487263499562,7.088880151475337,7.5663347901282805,-13.061017032073815,-12.504978360259827,272.837207548654,0.98,-0.4414621551326601
1645,25.0,7.546458173295957,7.069288798096466,7.545870000811988,-12.615460447174659,-12.52817664630362,272.83733138393904,0.9799669804825804,0.0005881724839689184
1650,25.0,7.1927243170260695,7.049378786573641,7.524980924116903,-13.549044080515767,-12.551428839718994,272.7659322771001,0.98,-0.3322566070908337
1655,25.0,6.727963725814068,7.029163133012844,7.503677157891673,-13.052238844666451,-12.574734176705363,272.5958972836474,0.98,-0.7757134320776045
1660,25.0,7.947902754837667,7.008654280291864,7.481965524687098,-12.254312746071857,-12.598091841663006,272.70004211712444,0.9538486238583435,0.4659372301505691
1665,25.0,7.315148276530464,6.987864126511454,7.459885562243926,-11.898414123370005,-12.621500972867807,272.6671572178517,0.9619715664944724,-0.1447372857134619
1670,25.0,7.038175691142007,6.966804051920121,7.437455419416551,-12.944969361720593,-12.64496066773637,272.5749967394233,0.98,-0.3992797282745446
1675,25.0,7.184324971761895,6.945484944396981,7.414692098980311,-12.197364057722504,-12.668469987708477,272.52102043844326,0.98,-0.23036712721841557
1680,25.0,7.491309969383668,6.923917223574392,7.391607552017376,-12.936087593488761,-12.692027962771192,272.544713671095,0.9744058647110476,0.09970241736629148
1685,25.0,7.044025219995396,6.902110863676512,7.36821571872531,-11.65439752645856,-12.71563359564766,272.4666609860149,0.98,-0.324190498729914
1690,25.0,7.791650042245479,6.880075415145257,7.344517801760048,-12.616678203916337,-12.739285865673082,272.57574400955866,0.9549163715622837,0.44713224048543054
1695,25.0,6.659928860876895,6.8578200251216686,7.3205410071614665,-12.899459519770243,-12.762983732377052,272.4127627298857,0.98,-0.6606121462845715
1700,25.0,7.1412636455306115,6.835353456846747,7.296281025133055,-13.049833734346342,-12.786726138792858,272.3740464963656,0.98,-0.15501737960244366
1705,25.0,7.928734858485736,6.812684108041253,7.271756053759077,-11.922954553742501,-12.81051201451072,272.5399310121923,0.9431537699776901,0.6569788047266591
1710,25.0,6.854143632694629,6.789820028321515,7.246993581256675,-12.75049635115159,-12.83434027849188,272.4398471818444,0.9651845588787599,-0.3928499485620458
1715,25.0,6.301084678366819,6.766768935705272,7.221994708477098,-12.963028547203551,-12.85820984165997,272.2029272314909,0.98,-0.9209100301102788
1720,25.0,6.989236509638287,6.743538232256697,7.196759476832881,-12.5346118718086,-12.882119609284075,272.1489915446912,0.98,-0.20752296719459373
1725,25.0,7.553574971941188,6.720135018919223,7.17130546834818,-13.495002440785246,-12.906068483167417,272.24921634849807,0.9585683427424141,0.38226950359300815
