module,system,n_seeds,mean,ci_lower,ci_upper,rel_width,cv,converged,stable,convergence_status,stability,mean_time_s,total_time_s,peak_ram_mb,peak_vram_mb
EV3_DEEP,ECG200,20,104.93218068213623,103.94349487085005,105.87337291835108,0.0183916700763809,0.0214784463116346,True,True,CONVERGED,STABLE,,,,
EV3_DEEP,ECG5000,20,104.93218068213623,103.94349487085005,105.87337291835108,0.0183916700763809,0.0214784463116346,True,True,CONVERGED,STABLE,,,,
EV3_SCI,lorenz,50,506.9472408360452,494.2188027605628,522.260832405481,0.05531547937547095,0.10130318661105006,False,False,NOT_CONVERGED,UNSTABLE,40.168294818000014,2008.4147409000007,4.432,2.27
EV3_SCI,duffing,50,1179.1353386831595,930.4518399600319,1433.0291327140048,0.42622528243046615,0.7996545166331648,False,False,NOT_CONVERGED,UNSTABLE,40.27553656799997,2013.7768283999985,5.56,2.27
EV3_SCI,van_der_pol,20,484.8913584082294,484.5367544630515,485.23827212338387,0.0014467522428843447,0.0017317430338294746,True,True,CONVERGED,STABLE,39.51694535499983,790.3389070999965,4.348,2.27
EV3_SCI,rossler,20,488.842987250698,487.8554644156005,490.3968881936287,0.005198854937699697,0.0058829638460818805,True,True,CONVERGED,STABLE,39.50333487499993,790.0666974999986,4.407,2.27
EV3_SCI,logistic,50,396.5134531046835,388.6368203758411,416.089294422372,0.06923465983708542,0.10858781408406813,False,False,NOT_CONVERGED,UNSTABLE,39.61240117600031,1980.6200588000156,4.819,2.27
EV3_SCI,ECG200,20,337.74939927531693,337.44033082791316,338.03881604636155,0.0017719801122741074,0.0020746548002148917,True,True,CONVERGED,STABLE,19.76074656000001,395.21493120000014,1.445,1.608
EV3_SCI,ECG5000,20,337.74939927531693,337.44033082791316,338.03881604636155,0.0017719801122741074,0.0020746548002148917,True,True,CONVERGED,STABLE,19.260202424999807,385.20404849999613,1.445,1.608
SINDy,lorenz,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.39745975639998316,19.872987819999157,0.075,0.0
SINDy,duffing,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.2622871758000019,13.114358790000095,0.001,0.0
SINDy,van_der_pol,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.2580935724000119,12.904678620000595,0.001,0.0
SINDy,rossler,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.25607328349998715,12.803664174999358,0.001,0.0
