Step,Day,T_CPU_C,T_Battery_C,T_Payload_C,Power_CPU_W,Mode,Watchdogs,ECC_Repairs,Sensor_CPU_Status,Sensor_Battery_Status
128,5.333333333333333,10.59555156691988,6.448372793191766,3.069925579141284,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
132,5.5,35.58460614537552,28.087374208374854,23.44335452928601,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
136,5.666666666666667,66.58080415675767,44.61990360575163,54.98278159448,20.0,NOMINAL,0,0,NOMINAL,DEGRADED
140,5.833333333333333,10.595551566919937,6.448372793191766,3.069925579141284,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
144,6.0,35.58460614537569,28.087374208375024,23.443354529286182,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
148,6.166666666666667,66.58080415675778,44.61990360575163,54.98278159448006,20.0,NOMINAL,0,0,NOMINAL,DEGRADED
152,6.333333333333333,10.595551566920108,6.448372793191993,3.069925579141511,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
156,6.5,35.584606145375574,28.087374208374854,23.44335452928607,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
160,6.666666666666667,66.58080415675795,44.61990360575169,54.98278159448029,20.0,NOMINAL,0,0,NOMINAL,DEGRADED
164,6.833333333333333,10.595551566920108,6.448372793191993,3.069925579141511,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
168,7.0,35.584606145375574,28.087374208374854,23.44335452928607,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
172,7.166666666666667,66.58080415675761,44.61990360575163,54.982781594479945,20.0,NOMINAL,0,0,NOMINAL,DEGRADED
176,7.333333333333333,10.595551566920221,6.448372793192107,3.069925579141625,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
180,7.5,35.58460614537563,28.087374208374968,23.443354529286125,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
184,7.666666666666667,66.58080415675806,44.61990360575169,54.98278159448029,20.0,NOMINAL,0,0,NOMINAL,DEGRADED
188,7.833333333333333,10.595551566920221,6.4483727931921635,3.069925579141625,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
192,8.0,35.584606145375744,28.087374208375138,23.44335452928624,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
196,8.166666666666666,66.58080415675846,44.619903605751915,54.982781594480684,20.0,NOMINAL,0,0,NOMINAL,DEGRADED
