artifact_path,artifact_type,size_bytes,last_modified
dashboard/public/artifacts/sessions/lorenz_noise_1.3333_seed_9001.json,JSON Config,2721,2026-05-21 10:05:16
dashboard/public/artifacts/sessions/lorenz_noise_1.5556_seed_1337.json,JSON Config,2718,2026-05-21 10:05:29
dashboard/public/artifacts/sessions/lorenz_noise_1.5556_seed_42.json,JSON Config,2715,2026-05-21 10:05:23
dashboard/public/artifacts/sessions/lorenz_noise_1.5556_seed_9001.json,JSON Config,2718,2026-05-21 10:05:36
dashboard/public/artifacts/sessions/lorenz_noise_1.7778_seed_1337.json,JSON Config,2718,2026-05-21 10:05:49
dashboard/public/artifacts/sessions/lorenz_noise_1.7778_seed_42.json,JSON Config,2715,2026-05-21 10:05:42
dashboard/public/artifacts/sessions/lorenz_noise_1.7778_seed_9001.json,JSON Config,2716,2026-05-21 10:05:55
dashboard/public/artifacts/sessions/lorenz_noise_2.0000_seed_1337.json,JSON Config,2717,2026-05-21 10:06:08
dashboard/public/artifacts/sessions/lorenz_noise_2.0000_seed_42.json,JSON Config,2712,2026-05-21 10:06:02
dashboard/public/artifacts/sessions/lorenz_noise_2.0000_seed_9001.json,JSON Config,2717,2026-05-21 10:06:15
dashboard/public/artifacts/sessions/rossler_noise_0.0000_seed_1337.json,JSON Config,2710,2026-05-21 10:06:27
dashboard/public/artifacts/sessions/rossler_noise_0.0000_seed_42.json,JSON Config,2704,2026-05-21 10:06:21
dashboard/public/artifacts/sessions/rossler_noise_0.0000_seed_9001.json,JSON Config,2707,2026-05-21 10:06:34
dashboard/public/artifacts/sessions/rossler_noise_0.2222_seed_1337.json,JSON Config,2712,2026-05-21 10:06:46
dashboard/public/artifacts/sessions/rossler_noise_0.2222_seed_42.json,JSON Config,2708,2026-05-21 10:06:40
dashboard/public/artifacts/sessions/rossler_noise_0.2222_seed_9001.json,JSON Config,2717,2026-05-21 10:06:52
dashboard/public/artifacts/sessions/rossler_noise_0.2500_seed_42.json,JSON Config,5196,2026-05-20 21:05:31
dashboard/public/artifacts/sessions/rossler_noise_0.4444_seed_1337.json,JSON Config,2717,2026-05-21 10:07:05
dashboard/public/artifacts/sessions/rossler_noise_0.4444_seed_42.json,JSON Config,2708,2026-05-21 10:06:59
dashboard/public/artifacts/sessions/rossler_noise_0.4444_seed_9001.json,JSON Config,2713,2026-05-21 10:07:11
dashboard/public/artifacts/sessions/rossler_noise_0.5000_seed_42.json,JSON Config,5194,2026-05-20 21:05:31
dashboard/public/artifacts/sessions/rossler_noise_0.6667_seed_1337.json,JSON Config,2713,2026-05-21 10:07:24
dashboard/public/artifacts/sessions/rossler_noise_0.6667_seed_42.json,JSON Config,2711,2026-05-21 10:07:18
dashboard/public/artifacts/sessions/rossler_noise_0.6667_seed_9001.json,JSON Config,2712,2026-05-21 10:07:30
dashboard/public/artifacts/sessions/rossler_noise_0.7500_seed_42.json,JSON Config,5196,2026-05-20 21:05:31
dashboard/public/artifacts/sessions/rossler_noise_0.8889_seed_1337.json,JSON Config,2713,2026-05-21 10:07:43
dashboard/public/artifacts/sessions/rossler_noise_0.8889_seed_42.json,JSON Config,2712,2026-05-21 10:07:37
dashboard/public/artifacts/sessions/rossler_noise_0.8889_seed_9001.json,JSON Config,2713,2026-05-21 10:07:49
dashboard/public/artifacts/sessions/rossler_noise_1.0000_seed_42.json,JSON Config,5236,2026-05-20 21:05:46
dashboard/public/artifacts/sessions/rossler_noise_1.1111_seed_1337.json,JSON Config,2715,2026-05-21 10:08:02
dashboard/public/artifacts/sessions/rossler_noise_1.1111_seed_42.json,JSON Config,2711,2026-05-21 10:07:56
dashboard/public/artifacts/sessions/rossler_noise_1.1111_seed_9001.json,JSON Config,2714,2026-05-21 10:08:08
dashboard/public/artifacts/sessions/rossler_noise_1.3333_seed_1337.json,JSON Config,2718,2026-05-21 10:08:21
dashboard/public/artifacts/sessions/rossler_noise_1.3333_seed_42.json,JSON Config,2713,2026-05-21 10:08:15
dashboard/public/artifacts/sessions/rossler_noise_1.3333_seed_9001.json,JSON Config,2720,2026-05-21 10:08:27
dashboard/public/artifacts/sessions/rossler_noise_1.5556_seed_1337.json,JSON Config,2719,2026-05-21 10:08:40
dashboard/public/artifacts/sessions/rossler_noise_1.5556_seed_42.json,JSON Config,2712,2026-05-21 10:08:34
dashboard/public/artifacts/sessions/rossler_noise_1.5556_seed_9001.json,JSON Config,2716,2026-05-21 10:08:46
dashboard/public/artifacts/sessions/rossler_noise_1.7778_seed_1337.json,JSON Config,2718,2026-05-21 10:08:59
