Time_s,Pressure_mbar,Heater_Power_W,T_Real_CPU,T_Real_Battery,T_Meas_CPU,T_Meas_Battery,T_Meas_Payload,T_Meas_Structure,T_Meas_Radiator,T_Meas_Panels,T_Pred_CPU,T_Pred_Battery,T_Pred_Payload,T_Pred_Structure,T_Pred_Radiator,T_Pred_Panels
3610.0,8.324782926830426e-06,0.0,1.2124155078365106,12.090610854606098,1.7452252299839301,11.93737499634966,6.6940775317831935,-0.7111308824133289,-6.46914341947587,-2.6051603725811106,-17.937062769193147,-5.128393350181852,-13.2834839714792,-19.108286042034052,-24.141806383942168,-20.101420143720674
3620.0,8.283046245469919e-06,0.0,1.1319631267680847,12.041722418288202,1.194117178070428,12.30998392123314,6.702605339277454,-0.8505511997049098,-7.039136956688935,-2.4651647806675214,-18.06609615476114,-5.259803055408213,-13.416599117370595,-19.23397834357408,-24.25831036812275,-20.22837961400876
3630.0,8.157195754402385e-06,0.0,1.0517235352571674,11.992732367977453,1.12916710056885,12.004288735918351,6.923924076776586,-0.5902151725858857,-8.540961022497186,-2.3894551246851847,-18.19477112702694,-5.391132650449322,-13.549325474221462,-19.35933471201946,-24.374512468462314,-20.354994478286756
3640.0,8.259334083945324e-06,0.0,0.9716942770274954,11.943641724745248,1.5099085717772027,11.69985120361622,5.98236622824686,-0.3778609200110168,-6.8428602830884415,-2.7620537781853614,-18.323090038224848,-5.522379624755786,-13.681665763363014,-19.48435720481737,-24.490414539985096,-20.481266277283254
3650.0,8.312796992557568e-06,0.0,0.8918729528054428,11.894451501326841,0.4849316436407207,11.968684421488433,6.34379062289662,-0.6422951941669339,-8.31536085608343,-1.8771361711536656,-18.451055210325933,-5.653541513800178,-13.813622672308554,-19.609047855406914,-24.606018415432573,-20.607196557486304
3660.0,8.220254529951609e-06,0.0,0.8122572185666286,11.845162702209052,0.9832283534279895,11.739801408512392,6.116587381211616,-1.1012570495583418,-6.719179617419286,-1.1734155192039566,-18.57866893567342,-5.784615898366212,-13.945198855251931,-19.73340867365326,-24.721325905684324,-20.73278687037626
3670.0,8.196792472955868e-06,0.0,0.7328447838459056,11.795776323716495,0.860076473906247,11.57991465035093,6.058360139109368,-0.9869301428074664,-4.818235230928906,-3.21285666547152,-18.705933477597682,-5.915600403849851,-14.076396933562364,-19.857441646270416,-24.836338800167113,-20.85803877169218
3680.0,8.343210196831111e-06,0.0,0.653633410109137,11.746293354097304,0.9722824436854012,11.876424382503501,6.390215087419108,-0.9771148796136799,-7.118444079143217,-2.2230117069725566,-18.832851071011874,-6.046492699571559,-14.207219496275854,-19.981148737232758,-24.95105886725247,-20.9829538207309
3690.0,8.465567085072974e-06,0.0,0.5746209091827836,11.696714773607368,0.9128886238306677,11.645728712906987,5.694945481970137,-1.1666313550446716,-8.376080252896543,-2.302394189089057,-18.95942392298892,-6.177290498099978,-14.337669100582275,-20.104531888175813,-25.06548785464352,-21.107533579677096
3700.0,8.589310898541388e-06,0.0,0.49580514174033397,11.64704155459384,0.5230185919198789,11.712770447818968,5.890812576827443,-1.0307017832680572,-9.89123385563471,-2.914524377361033,-19.085654213320765,-6.307991554586181,-14.467748272308086,-20.227593018786706,-25.179627489751255,-21.231779612963436
